SeqName	EPI_ISL	IsolateName	CollectionDate	Country	State	Place	decDate
USA|LA-CDC-QDX22055459|EPI_ISL_1139816|B.1.1.519|2021-02-11	EPI_ISL_1139816	LA-CDC-QDX22055459	2021-02-11	North America	USA	Louisiana	2021.11232876712
USA|CA-CDC-QDX22061030|EPI_ISL_1139840|B.1.1.519|2021-02-10	EPI_ISL_1139840	CA-CDC-QDX22061030	2021-02-10	North America	USA	California	2021.1095890411
USA|CA-CDC-QDX22060787|EPI_ISL_1139935|B.1.1.519|2021-02-08	EPI_ISL_1139935	CA-CDC-QDX22060787	2021-02-08	North America	USA	California	2021.10410958904
Mexico|CMX-INMEGEN-02-12-14|EPI_ISL_1133103|B.1.1.519|2021-02-12	EPI_ISL_1133103	CMX-INMEGEN-02-12-14	2021-02-12	North America	Mexico	Mexico City	2021.11506849315
Germany|BY-MVP-0084|EPI_ISL_437278|B.1|2020-04-01	EPI_ISL_437278	BY-MVP-0084	2020-04-01	Europe	Germany	Bavaria	2020.24657534247
USA|TX-HMH-MCoV-27748|EPI_ISL_1237530|B.1.1.519|2021-02-13	EPI_ISL_1237530	TX-HMH-MCoV-27748	2021-02-13	North America	USA	Texas	2021.11780821918
USA|TX-HMH-MCoV-28447|EPI_ISL_1238230|B.1.1.519|2021-02-07	EPI_ISL_1238230	TX-HMH-MCoV-28447	2021-02-07	North America	USA	Texas	2021.10136986301
USA|MI-MDHHS-SC23991|EPI_ISL_1158237|B.1.1.519|2021-02-01	EPI_ISL_1158237	MI-MDHHS-SC23991	2021-02-01	North America	USA	Michigan	2021.08493150685
USA|MI-MDHHS-SC24146|EPI_ISL_1158290|B.1.1.519|2021-02-11	EPI_ISL_1158290	MI-MDHHS-SC24146	2021-02-11	North America	USA	Michigan	2021.11232876712
Netherlands|LI-MUMC-1115|EPI_ISL_1158923|B.1.1.519|2021-02-17	EPI_ISL_1158923	LI-MUMC-1115	2021-02-17	Europe	Netherlands	Limburg	2021.12876712329
Netherlands|LI-MUMC-1116|EPI_ISL_1158924|B.1.1.519|2021-02-18	EPI_ISL_1158924	LI-MUMC-1116	2021-02-18	Europe	Netherlands	Limburg	2021.13150684931
Netherlands|LI-MUMC-1117|EPI_ISL_1158925|B.1.1.519|2021-02-18	EPI_ISL_1158925	LI-MUMC-1117	2021-02-18	Europe	Netherlands	Limburg	2021.13150684931
Netherlands|LI-MUMC-1118|EPI_ISL_1158926|B.1.1.519|2021-02-19	EPI_ISL_1158926	LI-MUMC-1118	2021-02-19	Europe	Netherlands	Limburg	2021.13424657534
Netherlands|LI-MUMC-1119|EPI_ISL_1158927|B.1.1.519|2021-02-19	EPI_ISL_1158927	LI-MUMC-1119	2021-02-19	Europe	Netherlands	Limburg	2021.13424657534
USA|PA-CDC-QDX22019266|EPI_ISL_1158958|B.1.1.519|2021-02-13	EPI_ISL_1158958	PA-CDC-QDX22019266	2021-02-13	North America	USA	Pennsylvania	2021.11780821918
USA|MD-CDC-QDX22118743|EPI_ISL_1159251|B.1.1.519|2021-02-14	EPI_ISL_1159251	MD-CDC-QDX22118743	2021-02-14	North America	USA	Maryland	2021.12054794521
USA|NV-CDC-QDX22164946|EPI_ISL_1159267|B.1.1.519|2021-02-18	EPI_ISL_1159267	NV-CDC-QDX22164946	2021-02-18	North America	USA	Nevada	2021.13150684931
USA|FL-CDC-QDX22121371|EPI_ISL_1159339|B.1.1.519|2021-02-17	EPI_ISL_1159339	FL-CDC-QDX22121371	2021-02-17	North America	USA	Florida	2021.12876712329
USA|OH-CDC-QDX22031724|EPI_ISL_1159434|B.1.1.519|2021-02-15	EPI_ISL_1159434	OH-CDC-QDX22031724	2021-02-15	North America	USA	Ohio	2021.12328767123
USA|OH-CDC-QDX22028052|EPI_ISL_1159502|B.1.1.519|2021-02-11	EPI_ISL_1159502	OH-CDC-QDX22028052	2021-02-11	North America	USA	Ohio	2021.11232876712
USA|NJ-CDC-LC0017984|EPI_ISL_1159975|B.1.1.519|2021-02-11	EPI_ISL_1159975	NJ-CDC-LC0017984	2021-02-11	North America	USA	New Jersey	2021.11232876712
USA|GA-CDC-LC0018314|EPI_ISL_1160067|B.1.1.519|2021-02-12	EPI_ISL_1160067	GA-CDC-LC0018314	2021-02-12	North America	USA	Georgia	2021.11506849315
USA|FL-CDC-LC0017626|EPI_ISL_1160255|B.1.1.519|2021-02-15	EPI_ISL_1160255	FL-CDC-LC0017626	2021-02-15	North America	USA	Florida	2021.12328767123
USA|NC-CDC-LC0018443|EPI_ISL_1160449|B.1.1.519|2021-02-16	EPI_ISL_1160449	NC-CDC-LC0018443	2021-02-16	North America	USA	North Carolina	2021.12602739726
USA|MA-CDC-LC0017073|EPI_ISL_1160948|B.1.1.519|2021-02-10	EPI_ISL_1160948	MA-CDC-LC0017073	2021-02-10	North America	USA	Massachusetts	2021.1095890411
USA|IL-CDC-LC0018104|EPI_ISL_1161174|B.1.1.519|2021-02-13	EPI_ISL_1161174	IL-CDC-LC0018104	2021-02-13	North America	USA	Illinois	2021.11780821918
USA|IL-CDC-LC0018125|EPI_ISL_1161178|B.1.1.519|2021-02-12	EPI_ISL_1161178	IL-CDC-LC0018125	2021-02-12	North America	USA	Illinois	2021.11506849315
USA|NC-CDC-LC0018293|EPI_ISL_1161218|B.1.1.519|2021-02-15	EPI_ISL_1161218	NC-CDC-LC0018293	2021-02-15	North America	USA	North Carolina	2021.12328767123
USA|LA-CDC-LC0018614|EPI_ISL_1161280|B.1.1.519|2021-02-16	EPI_ISL_1161280	LA-CDC-LC0018614	2021-02-16	North America	USA	Louisiana	2021.12602739726
USA|AZ-CDC-LC0018818|EPI_ISL_1161328|B.1.1.519|2021-02-15	EPI_ISL_1161328	AZ-CDC-LC0018818	2021-02-15	North America	USA	Arizona	2021.12328767123
USA|NJ-CDC-LC0014129|EPI_ISL_1161509|B.1.1.519|2021-02-09	EPI_ISL_1161509	NJ-CDC-LC0014129	2021-02-09	North America	USA	New Jersey	2021.10684931507
USA|GA-CDC-LC0015030|EPI_ISL_1161652|B.1.1.519|2021-02-09	EPI_ISL_1161652	GA-CDC-LC0015030	2021-02-09	North America	USA	Georgia	2021.10684931507
USA|NM-CDC-LC0016313|EPI_ISL_1161715|B.1.1.519|2021-02-09	EPI_ISL_1161715	NM-CDC-LC0016313	2021-02-09	North America	USA	New Mexico	2021.10684931507
Saudi_Arabia|KAUST-Jeddah59|EPI_ISL_437496|B.1.471|2020-03-25	EPI_ISL_437496	KAUST-Jeddah59	2020-03-25	Asia	Saudi Arabia	Jeddah	2020.22739726027
USA|LA-CDC-LC0016589|EPI_ISL_1162515|B.1.1.519|2021-02-09	EPI_ISL_1162515	LA-CDC-LC0016589	2021-02-09	North America	USA	Louisiana	2021.10684931507
USA|TN-CDC-LC0016563|EPI_ISL_1162541|B.1.1.519|2021-02-09	EPI_ISL_1162541	TN-CDC-LC0016563	2021-02-09	North America	USA	Tennessee	2021.10684931507
USA|IN-CDC-LC0015706|EPI_ISL_1163114|B.1.1.519|2021-02-09	EPI_ISL_1163114	IN-CDC-LC0015706	2021-02-09	North America	USA	Indiana	2021.10684931507
USA|TX-CDC-LC0013982|EPI_ISL_1163301|B.1.1.519|2021-02-08	EPI_ISL_1163301	TX-CDC-LC0013982	2021-02-08	North America	USA	Texas	2021.10410958904
USA|LA-CDC-LC0014963|EPI_ISL_1163362|B.1.1.519|2021-02-09	EPI_ISL_1163362	LA-CDC-LC0014963	2021-02-09	North America	USA	Louisiana	2021.10684931507
USA|NJ-CDC-LC0016369|EPI_ISL_1163452|B.1.1.519|2021-02-09	EPI_ISL_1163452	NJ-CDC-LC0016369	2021-02-09	North America	USA	New Jersey	2021.10684931507
USA|LA-CDC-LC0016555|EPI_ISL_1163472|B.1.1.519|2021-02-09	EPI_ISL_1163472	LA-CDC-LC0016555	2021-02-09	North America	USA	Louisiana	2021.10684931507
USA|IN-CDC-LC0016661|EPI_ISL_1163493|B.1.1.519|2021-02-11	EPI_ISL_1163493	IN-CDC-LC0016661	2021-02-11	North America	USA	Indiana	2021.11232876712
Italy|LOM-Pavia-41147|EPI_ISL_1166102|B.1.1.265|2020-04-11	EPI_ISL_1166102	LOM-Pavia-41147	2020-04-11	Europe	Italy	Lombardy	2020.27397260274
USA|WA-UW-59030|EPI_ISL_1167227|B.1.1.519|2021-02-01	EPI_ISL_1167227	WA-UW-59030	2021-02-01	North America	USA	Washington	2021.08493150685
USA|TX-DSHS-2642|EPI_ISL_1168223|B.1.1.519|2021-01-13	EPI_ISL_1168223	TX-DSHS-2642	2021-01-13	North America	USA	Texas	2021.03287671233
USA|NH-Yale-1640|EPI_ISL_1168366|B.1.443|2020-04-18	EPI_ISL_1168366	NH-Yale-1640	2020-04-18	North America	USA	New Hampshire	2020.29315068493
Mexico|QUE-InDRE_381|EPI_ISL_1168459|B.1.1.519|2021-01-25	EPI_ISL_1168459	QUE-InDRE_381	2021-01-25	North America	Mexico	Queretaro	2021.06575342466
Mexico|QUE-InDRE_386|EPI_ISL_1168464|B.1.1.519|2021-01-25	EPI_ISL_1168464	QUE-InDRE_386	2021-01-25	North America	Mexico	Queretaro	2021.06575342466
Mexico|JAL-InDRE_426|EPI_ISL_1168504|B.1.1.519|2021-01-19	EPI_ISL_1168504	JAL-InDRE_426	2021-01-19	North America	Mexico	Jalisco	2021.04931506849
Mexico|HID-InDRE_461|EPI_ISL_1168531|B.1.1.519|2021-01-16	EPI_ISL_1168531	HID-InDRE_461	2021-01-16	North America	Mexico	Hidalgo	2021.04109589041
Mexico|MOR-InDRE_462|EPI_ISL_1168532|B.1.1.519|2021-01-15	EPI_ISL_1168532	MOR-InDRE_462	2021-01-15	North America	Mexico	Morelos	2021.03835616438
Mexico|MOR-InDRE_465|EPI_ISL_1168535|B.1.1.519|2021-01-15	EPI_ISL_1168535	MOR-InDRE_465	2021-01-15	North America	Mexico	Morelos	2021.03835616438
Mexico|MEX-InDRE_467|EPI_ISL_1168537|B.1.1.519|2021-01-16	EPI_ISL_1168537	MEX-InDRE_467	2021-01-16	North America	Mexico	State of Mexico	2021.04109589041
Mexico|QUE-InDRE_473|EPI_ISL_1168543|B.1.1.519|2021-01-16	EPI_ISL_1168543	QUE-InDRE_473	2021-01-16	North America	Mexico	Queretaro	2021.04109589041
Mexico|QUE-InDRE_475|EPI_ISL_1168545|B.1.1.519|2021-01-16	EPI_ISL_1168545	QUE-InDRE_475	2021-01-16	North America	Mexico	Queretaro	2021.04109589041
Mexico|COA-InDRE_497|EPI_ISL_1168567|B.1.1.519|2021-01-18	EPI_ISL_1168567	COA-InDRE_497	2021-01-18	North America	Mexico	Coahuila	2021.04657534247
Mexico|YUC-InDRE_501|EPI_ISL_1168571|B.1.1.519|2021-01-18	EPI_ISL_1168571	YUC-InDRE_501	2021-01-18	North America	Mexico	Yucatan	2021.04657534247
Mexico|HID-InDRE_520|EPI_ISL_1168590|B.1.1.519|2021-01-21	EPI_ISL_1168590	HID-InDRE_520	2021-01-21	North America	Mexico	Hidalgo	2021.05479452055
Mexico|HID-InDRE_521|EPI_ISL_1168591|B.1.1.519|2021-01-23	EPI_ISL_1168591	HID-InDRE_521	2021-01-23	North America	Mexico	Hidalgo	2021.0602739726
Mexico|MOR-InDRE_523|EPI_ISL_1168593|B.1.1.519|2021-01-19	EPI_ISL_1168593	MOR-InDRE_523	2021-01-19	North America	Mexico	Morelos	2021.04931506849
Mexico|MOR-InDRE_524|EPI_ISL_1168594|B.1.1.519|2021-01-19	EPI_ISL_1168594	MOR-InDRE_524	2021-01-19	North America	Mexico	Morelos	2021.04931506849
Mexico|MOR-InDRE_525|EPI_ISL_1168595|B.1.1.519|2021-01-20	EPI_ISL_1168595	MOR-InDRE_525	2021-01-20	North America	Mexico	Morelos	2021.05205479452
Mexico|MOR-InDRE_526|EPI_ISL_1168596|B.1.1.519|2021-01-21	EPI_ISL_1168596	MOR-InDRE_526	2021-01-21	North America	Mexico	Morelos	2021.05479452055
Mexico|MOR-InDRE_529|EPI_ISL_1168599|B.1.1.519|2021-01-21	EPI_ISL_1168599	MOR-InDRE_529	2021-01-21	North America	Mexico	Morelos	2021.05479452055
Mexico|OAX-InDRE_536|EPI_ISL_1168606|B.1.1.519|2021-01-21	EPI_ISL_1168606	OAX-InDRE_536	2021-01-21	North America	Mexico	Oaxaca	2021.05479452055
Mexico|CAM-InDRE_544|EPI_ISL_1168614|B.1.1.519|2021-01-17	EPI_ISL_1168614	CAM-InDRE_544	2021-01-17	North America	Mexico	Campeche	2021.04383561644
Mexico|QUE-InDRE_563|EPI_ISL_1168633|B.1.1.519|2021-01-22	EPI_ISL_1168633	QUE-InDRE_563	2021-01-22	North America	Mexico	Queretaro	2021.05753424658
Mexico|CMX-INMEGEN-03-01-03|EPI_ISL_1168636|B.1.1.519|2021-02-15	EPI_ISL_1168636	CMX-INMEGEN-03-01-03	2021-02-15	North America	Mexico	Mexico City	2021.12328767123
Mexico|CMX-INMEGEN-03-01-05|EPI_ISL_1168638|B.1.1.519|2021-02-15	EPI_ISL_1168638	CMX-INMEGEN-03-01-05	2021-02-15	North America	Mexico	Mexico City	2021.12328767123
Mexico|CMX-INMEGEN-03-01-06|EPI_ISL_1168639|B.1.1.519|2021-02-15	EPI_ISL_1168639	CMX-INMEGEN-03-01-06	2021-02-15	North America	Mexico	Mexico City	2021.12328767123
USA|CA-SC-210244|EPI_ISL_1169600|B.1.1.519|2021-02-27	EPI_ISL_1169600	CA-SC-210244	2021-02-27	North America	USA	California	2021.15616438356
Japan|PG-2894|EPI_ISL_691020|B.1.1.285|2020-03-25	EPI_ISL_691020	PG-2894	2020-03-25	Asia	Japan	Kanagawa	2020.22739726027
USA|CO-CDPHE-2100478766|EPI_ISL_1169809|B.1.1.519|2021-02-21	EPI_ISL_1169809	CO-CDPHE-2100478766	2021-02-21	North America	USA	Colorado	2021.1397260274
USA|NV-NSPHL-NV2037163|EPI_ISL_1169844|B.1.1.519|2021-02-15	EPI_ISL_1169844	NV-NSPHL-NV2037163	2021-02-15	North America	USA	Nevada	2021.12328767123
Brazil|SP-1632|EPI_ISL_1171632|B.1.1.519|2021-01-11	EPI_ISL_1171632	SP-1632	2021-01-11	South America	Brazil	Sao Paulo	2021.02739726027
USA|NY-PRL-2021_02_26_00N21|EPI_ISL_1172238|B.1.1.519|2021-02-23	EPI_ISL_1172238	NY-PRL-2021_02_26_00N21	2021-02-23	North America	USA	New York	2021.14520547945
USA|NY-PRL-2021_03_01_00N15|EPI_ISL_1172522|B.1.1.519|2021-02-27	EPI_ISL_1172522	NY-PRL-2021_03_01_00N15	2021-02-27	North America	USA	New York	2021.15616438356
USA|NY-PRL-2021_03_01_01E22|EPI_ISL_1172633|B.1.1.519|2021-02-26	EPI_ISL_1172633	NY-PRL-2021_03_01_01E22	2021-02-26	North America	USA	New York	2021.15342465753
USA|NY-PRL-2021_03_02_00D07|EPI_ISL_1172819|B.1.1.519|2021-02-28	EPI_ISL_1172819	NY-PRL-2021_03_02_00D07	2021-02-28	North America	USA	New York	2021.15890410959
Australia|QLD1276|EPI_ISL_693277|B.1.177.7|2020-03-21	EPI_ISL_693277	QLD1276	2020-03-21	Oceania	Australia	Queensland	2020.21643835616
USA|MD-HP00076|EPI_ISL_438234|A.3|2020-03-11	EPI_ISL_438234	MD-HP00076	2020-03-11	North America	USA	Maryland	2020.18904109589
United_Kingdom|CAMB-77990|EPI_ISL_439524|B.1.1.304|2020-03-31	EPI_ISL_439524	CAMB-77990	2020-03-31	Europe	United Kingdom	England	2020.24383561644
United_Kingdom|BRIS-121D98|EPI_ISL_440000|B.1.1.270|2020-03-21	EPI_ISL_440000	BRIS-121D98	2020-03-21	Europe	United Kingdom	England	2020.21643835616
United_Kingdom|BRIS-121C9B|EPI_ISL_440218|B.1.81|2020-03-18	EPI_ISL_440218	BRIS-121C9B	2020-03-18	Europe	United Kingdom	England	2020.20821917808
United_Kingdom|BRIS-12193A|EPI_ISL_440220|B.1.379|2020-03-16	EPI_ISL_440220	BRIS-12193A	2020-03-16	Europe	United Kingdom	England	2020.20273972603
United_Kingdom|CAMB-73141|EPI_ISL_440297|B.1.1.41|2020-03-21	EPI_ISL_440297	CAMB-73141	2020-03-21	Europe	United Kingdom	England	2020.21643835616
United_Kingdom|BRIS-122BAC|EPI_ISL_440738|B.1.198|2020-04-03	EPI_ISL_440738	BRIS-122BAC	2020-04-03	Europe	United Kingdom	England	2020.25205479452
United_Kingdom|CAMB-7A14A|EPI_ISL_441289|B.1.1.178|2020-04-02	EPI_ISL_441289	CAMB-7A14A	2020-04-02	Europe	United Kingdom	England	2020.24931506849
United_Kingdom|NIRE-1020D0|EPI_ISL_441379|B.1.1.83|2020-03-21	EPI_ISL_441379	NIRE-1020D0	2020-03-21	Europe	United Kingdom	Northern Ireland	2020.21643835616
United_Kingdom|NOTT-110330|EPI_ISL_441501|B.1.1.55|2020-04-12	EPI_ISL_441501	NOTT-110330	2020-04-12	Europe	United Kingdom	England	2020.27671232877
United_Kingdom|CAMB-7CC38|EPI_ISL_442171|B.1.1.379|2020-04-05	EPI_ISL_442171	CAMB-7CC38	2020-04-05	Europe	United Kingdom	England	2020.25753424658
India|GJ-GBRC53|EPI_ISL_444484|B.1.247|2020-05-04	EPI_ISL_444484	GJ-GBRC53	2020-05-04	Asia	India	Gujarat	2020.33698630137
USA|IL-NM025|EPI_ISL_444535|B.1.162|2020-03-15	EPI_ISL_444535	IL-NM025	2020-03-15	North America	USA	Illinois	2020.2
Sweden|20-05444|EPI_ISL_445221|B.1.555|2020-03-11	EPI_ISL_445221	20-05444	2020-03-11	Europe	Sweden	Vastra Gotaland	2020.18904109589
Finland|13M33|EPI_ISL_418390|B.1.158|2020-03-13	EPI_ISL_418390	13M33	2020-03-13	Europe	Finland	NA	2020.19452054795
USA|CT-UW328|EPI_ISL_418895|B.1.108|2020-03-14	EPI_ISL_418895	CT-UW328	2020-03-14	North America	USA	Connecticut	2020.19726027397
Belgium|UGent-11|EPI_ISL_419259|B.11|2020-03-24	EPI_ISL_419259	UGent-11	2020-03-24	Europe	Belgium	Ghent	2020.22465753425
USA|GA-CDC-03063103-001|EPI_ISL_419557|B.1.1.61|2020-02-29	EPI_ISL_419557	GA-CDC-03063103-001	2020-02-29	North America	USA	Georgia	2020.16164383562
Luxembourg|LNS0366116|EPI_ISL_419564|B.1.94|2020-03-15	EPI_ISL_419564	LNS0366116	2020-03-15	Europe	Luxembourg	NA	2020.2
USA|TX-BSWTemple-GO39579|EPI_ISL_1180235|B.1.1.519|2021-02-27	EPI_ISL_1180235	TX-BSWTemple-GO39579	2021-02-27	North America	USA	Texas	2021.15616438356
Israel|13077723|EPI_ISL_447427|B.1.362|2020-04-03	EPI_ISL_447427	13077723	2020-04-03	Asia	Israel	Tel Aviv District	2020.25205479452
Israel|13075703|EPI_ISL_447450|B.1.1.50|2020-03-29	EPI_ISL_447450	13075703	2020-03-29	Asia	Israel	Tel Aviv District	2020.23835616438
Spain|VC-FISABIO-571|EPI_ISL_447502|B.1.1|2020-03-27	EPI_ISL_447502	VC-FISABIO-571	2020-03-27	Europe	Spain	Comunitat Valenciana	2020.23287671233
USA|NY-PV09362|EPI_ISL_450050|B.1.507|2020-03-15	EPI_ISL_450050	NY-PV09362	2020-03-15	North America	USA	New York	2020.2
Russia|StPetersburg-RII7520S|EPI_ISL_450256|B.1.1.127|2020-04-20	EPI_ISL_450256	StPetersburg-RII7520S	2020-04-20	Europe	Russia	Saint Petersburg	2020.29863013699
Bangladesh|BARJ-CVASU-CTG-517|EPI_ISL_450344|B.1.36.16|2020-05-03	EPI_ISL_450344	BARJ-CVASU-CTG-517	2020-05-03	Asia	Bangladesh	Chittagong	2020.33424657534
Sweden|20-14090|EPI_ISL_450828|B.1.1.91|2020-04-28	EPI_ISL_450828	20-14090	2020-04-28	Europe	Sweden	Uppsala	2020.32054794521
China|SC-PHCC1-022|EPI_ISL_451345|B.1|2020-01-24	EPI_ISL_451345	SC-PHCC1-022	2020-01-24	Asia	China	Sichuan	2020.06301369863
Poland|Pom5|EPI_ISL_451646|C.10|2020-04-22	EPI_ISL_451646	Pom5	2020-04-22	Europe	Poland	Pomorskie	2020.30410958904
Switzerland|SG-ETHZ-100145|EPI_ISL_451729|B.1.1.142|2020-03-16	EPI_ISL_451729	SG-ETHZ-100145	2020-03-16	Europe	Switzerland	St Gall	2020.20273972603
Denmark|ALAB-HH-157|EPI_ISL_452032|B.1.263|2020-03-19	EPI_ISL_452032	ALAB-HH-157	2020-03-19	Europe	Denmark	NA	2020.21095890411
China|DT-travelAT01|EPI_ISL_452327|B.1.350|2020-03-13	EPI_ISL_452327	DT-travelAT01	2020-03-13	Asia	China	Beijing	2020.19452054795
China|DT-travelNO01|EPI_ISL_452342|B|2020-03-12	EPI_ISL_452342	DT-travelNO01	2020-03-12	Asia	China	Beijing	2020.19178082192
United_Kingdom|EDB4335|EPI_ISL_453122|B.1.168|2020-04-23	EPI_ISL_453122	EDB4335	2020-04-23	Europe	United Kingdom	Scotland	2020.30684931507
United_Kingdom|EDB5108|EPI_ISL_453188|B.1.9.1|2020-03-31	EPI_ISL_453188	EDB5108	2020-03-31	Europe	United Kingdom	Scotland	2020.24383561644
Portugal|PT0513|EPI_ISL_454237|B.1.1.88|2020-03-20	EPI_ISL_454237	PT0513	2020-03-20	Europe	Portugal	NA	2020.21369863014
Romania|283584|EPI_ISL_455469|B.1.408|2020-05-12	EPI_ISL_455469	283584	2020-05-12	Europe	Romania	Bucuresti	2020.35890410959
New_Zealand|20VR1109|EPI_ISL_456190|B.31|2020-03-03	EPI_ISL_456190	20VR1109	2020-03-03	Oceania	New Zealand	Waikato	2020.16712328767
United_Kingdom|NOTT-11152A|EPI_ISL_457576|B.1.1.149|2020-05-01	EPI_ISL_457576	NOTT-11152A	2020-05-01	Europe	United Kingdom	England	2020.32876712329
United_Kingdom|BRIS-12ACFC|EPI_ISL_458367|B.1.165|2020-05-01	EPI_ISL_458367	BRIS-12ACFC	2020-05-01	Europe	United Kingdom	England	2020.32876712329
United_Kingdom|NORT-289744|EPI_ISL_458605|B.1.1.168|2020-03-31	EPI_ISL_458605	NORT-289744	2020-03-31	Europe	United Kingdom	England	2020.24383561644
Spain|AR-IBV-2474|EPI_ISL_468816|B.1.542|2020-03-24	EPI_ISL_468816	AR-IBV-2474	2020-03-24	Europe	Spain	Aragon	2020.22465753425
Mexico|CMX-INMEGEN-03-02-02|EPI_ISL_1181701|B.1.1.519|2021-02-18	EPI_ISL_1181701	CMX-INMEGEN-03-02-02	2021-02-18	North America	Mexico	Mexico City	2021.13150684931
Mexico|CMX-INMEGEN-03-02-04|EPI_ISL_1181702|B.1.1.519|2021-02-19	EPI_ISL_1181702	CMX-INMEGEN-03-02-04	2021-02-19	North America	Mexico	Mexico City	2021.13424657534
Mexico|CMX-INMEGEN-03-02-06|EPI_ISL_1181704|B.1.1.519|2021-02-18	EPI_ISL_1181704	CMX-INMEGEN-03-02-06	2021-02-18	North America	Mexico	Mexico City	2021.13150684931
Mexico|CMX-INMEGEN-03-02-07|EPI_ISL_1181705|B.1.1.519|2021-02-19	EPI_ISL_1181705	CMX-INMEGEN-03-02-07	2021-02-19	North America	Mexico	Mexico City	2021.13424657534
Mexico|CMX-INMEGEN-03-02-10|EPI_ISL_1181707|B.1.1.519|2021-02-16	EPI_ISL_1181707	CMX-INMEGEN-03-02-10	2021-02-16	North America	Mexico	Mexico City	2021.12602739726
Mexico|CMX-INMEGEN-03-02-11|EPI_ISL_1181708|B.1.1.519|2021-02-17	EPI_ISL_1181708	CMX-INMEGEN-03-02-11	2021-02-17	North America	Mexico	Mexico City	2021.12876712329
Mexico|CMX-INMEGEN-03-02-13|EPI_ISL_1181710|B.1.1.519|2021-02-19	EPI_ISL_1181710	CMX-INMEGEN-03-02-13	2021-02-19	North America	Mexico	Mexico City	2021.13424657534
Mexico|CMX-INMEGEN-03-02-14|EPI_ISL_1181711|B.1.1.519|2021-02-20	EPI_ISL_1181711	CMX-INMEGEN-03-02-14	2021-02-20	North America	Mexico	Mexico City	2021.13698630137
Mexico|CMX-INMEGEN-03-02-16|EPI_ISL_1181713|B.1.1.519|2021-02-20	EPI_ISL_1181713	CMX-INMEGEN-03-02-16	2021-02-20	North America	Mexico	Mexico City	2021.13698630137
Mexico|CMX-INMEGEN-03-02-18|EPI_ISL_1181715|B.1.1.519|2021-02-22	EPI_ISL_1181715	CMX-INMEGEN-03-02-18	2021-02-22	North America	Mexico	Mexico City	2021.14246575342
Mexico|CMX-INMEGEN-03-02-19|EPI_ISL_1181716|B.1.1.519|2021-02-19	EPI_ISL_1181716	CMX-INMEGEN-03-02-19	2021-02-19	North America	Mexico	Mexico City	2021.13424657534
